dataset,unit,method,endpoint,value
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_condition_averaged_causal_skill_mean,-0.90699929484527408
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_condition_averaged_causal_skill_mean,0.41626751134692774
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_pathwise_mean_causal_skill_mean,-1.4840811717214826
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_pathwise_mean_causal_skill_mean,0.45628783143463347
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,gauge_true_h_neural_pathwise_mean_causal_skill_mean,-0.63901948763035543
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,gauge_true_h_neural_condition_averaged_causal_skill_mean,-0.38029444132557066
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_causal_skill_mean,-0.17555209504336888
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_causal_skill_mean,0.40945213415358217
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_effect_nrmse_mean,0.17653054193827622
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_effect_nrmse_mean,0.35788513891791141
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_treated_nrmse_mean,1.0323111986546092
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_treated_nrmse_mean,0.67040654842530378
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,latent_effect_skill_affine_gauge_mean,-0.9525361587271004
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,latent_treated_r2_affine_gauge_mean,0.13269272596700188
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,shared_vector_field_r2_affine_gauge_mean,-0.89582250088333826
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,shared_vector_field_cosine_affine_gauge_mean,0.032066570410805774
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,shared_operator_linear_cka_affine_gauge_mean,0.998093945647339
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_observation_oracle_causal_skill_mean,0.056648619644154352
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_observation_oracle_causal_skill_mean,1
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,neural_condition_averaged_oracle_causal_skill_mean,0.29010410990727076
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,behavior_condition_averaged_oracle_causal_skill_mean,1
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,additive,query_coordinate_fraction_outside_normal_rollout_range,0.22407407407407406
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_condition_averaged_causal_skill_mean,-0.058235723252079818
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_condition_averaged_causal_skill_mean,0.77240010338895326
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_pathwise_mean_causal_skill_mean,-0.21406003161493792
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_pathwise_mean_causal_skill_mean,0.76798859246950313
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,gauge_true_h_neural_pathwise_mean_causal_skill_mean,0.24155123391327027
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,gauge_true_h_neural_condition_averaged_causal_skill_mean,-0.008109458851231377
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_causal_skill_mean,-0.010249400696468625
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_causal_skill_mean,0.75934805998449828
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_effect_nrmse_mean,0.16364894704551064
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_effect_nrmse_mean,0.22846032810037151
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_treated_nrmse_mean,1.0341904822365158
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_treated_nrmse_mean,0.54354896811547149
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,latent_effect_skill_affine_gauge_mean,0.11612137676260947
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,latent_treated_r2_affine_gauge_mean,0.2424951874640795
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,shared_vector_field_r2_affine_gauge_mean,-0.099338980246208353
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,shared_vector_field_cosine_affine_gauge_mean,0.28343676593645023
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,shared_operator_linear_cka_affine_gauge_mean,0.92276974430397096
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_observation_oracle_causal_skill_mean,0.056648619644154352
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_observation_oracle_causal_skill_mean,1
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,neural_condition_averaged_oracle_causal_skill_mean,0.29010410990727076
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,behavior_condition_averaged_oracle_causal_skill_mean,1
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,black_box,query_coordinate_fraction_outside_normal_rollout_range,0.090740740740740747
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,neural_condition_averaged_causal_skill_mean,-0.068729803852628502
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,behavior_condition_averaged_causal_skill_mean,0.51051856184267563
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,neural_pathwise_mean_causal_skill_mean,-0.012677974851236673
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,behavior_pathwise_mean_causal_skill_mean,0.51860894025130277
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,gauge_true_h_neural_pathwise_mean_causal_skill_mean,-0.22764952500502744
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,gauge_true_h_neural_condition_averaged_causal_skill_mean,-0.11404299946079322
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,neural_causal_skill_mean,-0.013212791921383804
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,behavior_causal_skill_mean,0.50785531904072823
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,neural_effect_nrmse_mean,0.16388878917780828
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,behavior_effect_nrmse_mean,0.32671006229382948
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,neural_treated_nrmse_mean,1.0337415702480395
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,behavior_treated_nrmse_mean,0.57470633266507154
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,latent_effect_skill_affine_gauge_mean,-0.2759237792086271
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,latent_treated_r2_affine_gauge_mean,0.34783772367728005
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,shared_vector_field_r2_affine_gauge_mean,-0.11567549776583785
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,shared_vector_field_cosine_affine_gauge_mean,0.08124369825200832
teacher_development_smoke,cadence-teacher-rnn-v1-smoke-development-00-812d24afe6ab,linear,shared_operator_linear_cka_affine_gauge_mean,0.9980939462791476
